date,type,description,key,source_module,observed_from,close_time,status
2002-01-01,CLOSED,New Year's Day,uk_new_years_day,module:uk_new_years_day,,,CONFIRMED
2002-03-29,CLOSED,Good Friday,good_friday,module:uk_good_friday,,,CONFIRMED
2002-04-01,CLOSED,Easter Monday,easter_monday,module:uk_easter_monday,,,CONFIRMED
2002-05-06,CLOSED,Early May Bank Holiday,uk_early_may_bank_holiday,module:uk_early_may_bank_holiday,,,CONFIRMED
2002-06-03,CLOSED,Spring Bank Holiday (Moved for the Golden Jubilee),uk_spring_bank_holiday_moved,module:uk_spring_bank_holiday,,,CONFIRMED
2002-06-04,CLOSED,Jubilee Bank Holiday (Golden Jubilee),uk_jubilee_bank_holiday,module:uk_jubilee_bank_holiday,,,CONFIRMED
2002-08-26,CLOSED,Summer Bank Holiday,uk_summer_bank_holiday,module:uk_summer_bank_holiday,,,CONFIRMED
2002-12-24,EARLY_CLOSE,Christmas Eve (Early Close),gb_lse_christmas_eve_early_close,module:gb_lse_early_closes,,12:30,CONFIRMED
2002-12-25,CLOSED,Christmas Day,uk_christmas_day,module:uk_christmas_day,,,CONFIRMED
2002-12-26,CLOSED,Boxing Day,uk_boxing_day,module:uk_boxing_day,,,CONFIRMED
2002-12-31,EARLY_CLOSE,New Year's Eve (Early Close),gb_lse_new_years_eve_early_close,module:gb_lse_early_closes,,12:30,CONFIRMED
2003-01-01,CLOSED,New Year's Day,uk_new_years_day,module:uk_new_years_day,,,CONFIRMED
2003-04-18,CLOSED,Good Friday,good_friday,module:uk_good_friday,,,CONFIRMED
2003-04-21,CLOSED,Easter Monday,easter_monday,module:uk_easter_monday,,,CONFIRMED
2003-05-05,CLOSED,Early May Bank Holiday,uk_early_may_bank_holiday,module:uk_early_may_bank_holiday,,,CONFIRMED
2003-05-26,CLOSED,Spring Bank Holiday,uk_spring_bank_holiday,module:uk_spring_bank_holiday,,,CONFIRMED
2003-08-25,CLOSED,Summer Bank Holiday,uk_summer_bank_holiday,module:uk_summer_bank_holiday,,,CONFIRMED
2003-12-24,EARLY_CLOSE,Christmas Eve (Early Close),gb_lse_christmas_eve_early_close,module:gb_lse_early_closes,,12:30,CONFIRMED
2003-12-25,CLOSED,Christmas Day,uk_christmas_day,module:uk_christmas_day,,,CONFIRMED
2003-12-26,CLOSED,Boxing Day,uk_boxing_day,module:uk_boxing_day,,,CONFIRMED
2003-12-31,EARLY_CLOSE,New Year's Eve (Early Close),gb_lse_new_years_eve_early_close,module:gb_lse_early_closes,,12:30,CONFIRMED
2004-01-01,CLOSED,New Year's Day,uk_new_years_day,module:uk_new_years_day,,,CONFIRMED
2004-04-09,CLOSED,Good Friday,good_friday,module:uk_good_friday,,,CONFIRMED
2004-04-12,CLOSED,Easter Monday,easter_monday,module:uk_easter_monday,,,CONFIRMED
2004-05-03,CLOSED,Early May Bank Holiday,uk_early_may_bank_holiday,module:uk_early_may_bank_holiday,,,CONFIRMED
2004-05-31,CLOSED,Spring Bank Holiday,uk_spring_bank_holiday,module:uk_spring_bank_holiday,,,CONFIRMED
2004-08-30,CLOSED,Summer Bank Holiday,uk_summer_bank_holiday,module:uk_summer_bank_holiday,,,CONFIRMED
2004-12-24,EARLY_CLOSE,Christmas Eve (Early Close),gb_lse_christmas_eve_early_close,module:gb_lse_early_closes,,12:30,CONFIRMED
2004-12-27,CLOSED,Christmas Day,uk_christmas_day,module:uk_christmas_day,2004-12-25,,CONFIRMED
2004-12-28,CLOSED,Boxing Day,uk_boxing_day,module:uk_boxing_day,2004-12-26,,CONFIRMED
2004-12-31,EARLY_CLOSE,New Year's Eve (Early Close),gb_lse_new_years_eve_early_close,module:gb_lse_early_closes,,12:30,CONFIRMED
2005-01-03,CLOSED,New Year's Day,uk_new_years_day,module:uk_new_years_day,2005-01-01,,CONFIRMED
2005-03-25,CLOSED,Good Friday,good_friday,module:uk_good_friday,,,CONFIRMED
2005-03-28,CLOSED,Easter Monday,easter_monday,module:uk_easter_monday,,,CONFIRMED
2005-05-02,CLOSED,Early May Bank Holiday,uk_early_may_bank_holiday,module:uk_early_may_bank_holiday,,,CONFIRMED
2005-05-30,CLOSED,Spring Bank Holiday,uk_spring_bank_holiday,module:uk_spring_bank_holiday,,,CONFIRMED
2005-08-29,CLOSED,Summer Bank Holiday,uk_summer_bank_holiday,module:uk_summer_bank_holiday,,,CONFIRMED
2005-12-23,EARLY_CLOSE,Christmas Eve (Early Close) (24 December 2005 is a Saturday; half day observed the preceding Friday),gb_lse_christmas_eve_early_close_shifted,module:gb_lse_early_closes,,12:30,CONFIRMED
2005-12-26,CLOSED,Boxing Day,uk_boxing_day,module:uk_boxing_day,,,CONFIRMED
2005-12-27,CLOSED,Christmas Day,uk_christmas_day,module:uk_christmas_day,2005-12-25,,CONFIRMED
2005-12-30,EARLY_CLOSE,New Year's Eve (Early Close) (31 December 2005 is a Saturday; half day observed the preceding Friday),gb_lse_new_years_eve_early_close_shifted,module:gb_lse_early_closes,,12:30,CONFIRMED
2006-01-02,CLOSED,New Year's Day,uk_new_years_day,module:uk_new_years_day,2006-01-01,,CONFIRMED
2006-04-14,CLOSED,Good Friday,good_friday,module:uk_good_friday,,,CONFIRMED
2006-04-17,CLOSED,Easter Monday,easter_monday,module:uk_easter_monday,,,CONFIRMED
2006-05-01,CLOSED,Early May Bank Holiday,uk_early_may_bank_holiday,module:uk_early_may_bank_holiday,,,CONFIRMED
2006-05-29,CLOSED,Spring Bank Holiday,uk_spring_bank_holiday,module:uk_spring_bank_holiday,,,CONFIRMED
2006-08-28,CLOSED,Summer Bank Holiday,uk_summer_bank_holiday,module:uk_summer_bank_holiday,,,CONFIRMED
2006-12-22,EARLY_CLOSE,Christmas Eve (Early Close) (24 December 2006 is a Sunday; half day observed the preceding Friday),gb_lse_christmas_eve_early_close_shifted,module:gb_lse_early_closes,,12:30,CONFIRMED
2006-12-25,CLOSED,Christmas Day,uk_christmas_day,module:uk_christmas_day,,,CONFIRMED
