date,type,description
2007-04-28,WEEKEND,Saturday
2007-04-29,WEEKEND,Sunday
2007-05-05,WEEKEND,Saturday
2007-05-06,WEEKEND,Sunday
2007-05-12,WEEKEND,Saturday
2007-05-13,WEEKEND,Sunday
2007-05-19,WEEKEND,Saturday
2007-05-20,WEEKEND,Sunday
2007-05-26,WEEKEND,Saturday
2007-05-27,WEEKEND,Sunday
2007-05-28,CLOSED,Memorial Day
2007-06-02,WEEKEND,Saturday
2007-06-03,WEEKEND,Sunday
2007-06-09,WEEKEND,Saturday
2007-06-10,WEEKEND,Sunday
2007-06-16,WEEKEND,Saturday
2007-06-17,WEEKEND,Sunday
2007-06-23,WEEKEND,Saturday
2007-06-24,WEEKEND,Sunday
2007-06-30,WEEKEND,Saturday
2007-07-01,WEEKEND,Sunday
2007-07-04,CLOSED,Independence Day
2007-07-07,WEEKEND,Saturday
2007-07-08,WEEKEND,Sunday
2007-07-14,WEEKEND,Saturday
2007-07-15,WEEKEND,Sunday
2007-07-21,WEEKEND,Saturday
2007-07-22,WEEKEND,Sunday
2007-07-28,WEEKEND,Saturday
2007-07-29,WEEKEND,Sunday
2007-08-04,WEEKEND,Saturday
2007-08-05,WEEKEND,Sunday
2007-08-11,WEEKEND,Saturday
2007-08-12,WEEKEND,Sunday
2007-08-18,WEEKEND,Saturday
2007-08-19,WEEKEND,Sunday
2007-08-25,WEEKEND,Saturday
2007-08-26,WEEKEND,Sunday
2007-09-01,WEEKEND,Saturday
2007-09-02,WEEKEND,Sunday
2007-09-03,CLOSED,Labor Day
2007-09-08,WEEKEND,Saturday
2007-09-09,WEEKEND,Sunday
2007-09-15,WEEKEND,Saturday
2007-09-16,WEEKEND,Sunday
2007-09-22,WEEKEND,Saturday
2007-09-23,WEEKEND,Sunday
2007-09-29,WEEKEND,Saturday
2007-09-30,WEEKEND,Sunday
2007-10-06,WEEKEND,Saturday
2007-10-07,WEEKEND,Sunday
2007-10-13,WEEKEND,Saturday
2007-10-14,WEEKEND,Sunday
2007-10-20,WEEKEND,Saturday
2007-10-21,WEEKEND,Sunday
2007-10-27,WEEKEND,Saturday
2007-10-28,WEEKEND,Sunday
2007-11-03,WEEKEND,Saturday
2007-11-04,WEEKEND,Sunday
2007-11-10,WEEKEND,Saturday
2007-11-11,WEEKEND,Sunday
2007-11-17,WEEKEND,Saturday
2007-11-18,WEEKEND,Sunday
2007-11-22,CLOSED,Thanksgiving Day
2007-11-24,WEEKEND,Saturday
2007-11-25,WEEKEND,Sunday
2007-12-01,WEEKEND,Saturday
2007-12-02,WEEKEND,Sunday
2007-12-08,WEEKEND,Saturday
2007-12-09,WEEKEND,Sunday
2007-12-15,WEEKEND,Saturday
2007-12-16,WEEKEND,Sunday
2007-12-22,WEEKEND,Saturday
2007-12-23,WEEKEND,Sunday
2007-12-25,CLOSED,Christmas Day
2007-12-29,WEEKEND,Saturday
2007-12-30,WEEKEND,Sunday
2008-01-01,CLOSED,New Year's Day
2008-01-05,WEEKEND,Saturday
2008-01-06,WEEKEND,Sunday
2008-01-12,WEEKEND,Saturday
2008-01-13,WEEKEND,Sunday
