date,type,description,key,source_module,observed_from,close_time,status
2019-01-01,CLOSED,New Year's Day,jp_new_years_day,module:jp_new_years_day,,,CONFIRMED
2019-01-02,CLOSED,Market Holiday (New Year),jp_jpx_new_year_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2019-01-03,CLOSED,Market Holiday (New Year),jp_jpx_new_year_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2019-01-14,CLOSED,Coming of Age Day,jp_coming_of_age_day,module:jp_coming_of_age_day,,,CONFIRMED
2019-02-11,CLOSED,National Foundation Day,jp_national_foundation_day,module:jp_national_foundation_day,,,CONFIRMED
2019-03-21,CLOSED,Vernal Equinox Day,jp_vernal_equinox_day,module:jp_vernal_equinox_day,,,CONFIRMED
2019-04-29,CLOSED,Showa Day,jp_showa_day,module:jp_showa_day,,,CONFIRMED
2019-04-30,CLOSED,Citizens' Holiday (between Showa Day and Accession Day),jp_citizens_holiday,module:jp_citizens_holidays,,,CONFIRMED
2019-05-01,CLOSED,Accession Day (enthronement of Emperor Naruhito),jp_accession_day_2019,module:jp_imperial_transition_2019,,,CONFIRMED
2019-05-02,CLOSED,Citizens' Holiday (between Accession Day and Constitution Memorial Day),jp_citizens_holiday,module:jp_citizens_holidays,,,CONFIRMED
2019-05-03,CLOSED,Constitution Memorial Day,jp_constitution_memorial_day,module:jp_constitution_memorial_day,,,CONFIRMED
2019-05-06,CLOSED,Children's Day,jp_childrens_day,module:jp_childrens_day,2019-05-05,,CONFIRMED
2019-07-15,CLOSED,Marine Day,jp_marine_day,module:jp_marine_day,,,CONFIRMED
2019-08-12,CLOSED,Mountain Day,jp_mountain_day,module:jp_mountain_day,2019-08-11,,CONFIRMED
2019-09-16,CLOSED,Respect for the Aged Day,jp_respect_for_the_aged_day,module:jp_respect_for_the_aged_day,,,CONFIRMED
2019-09-23,CLOSED,Autumnal Equinox Day,jp_autumnal_equinox_day,module:jp_autumnal_equinox_day,,,CONFIRMED
2019-10-14,CLOSED,Health and Sports Day,jp_health_and_sports_day,module:jp_sports_day,,,CONFIRMED
2019-10-22,CLOSED,Enthronement Ceremony Day (Sokui-rei Seiden no Gi),jp_enthronement_ceremony_day_2019,module:jp_imperial_transition_2019,,,CONFIRMED
2019-11-04,CLOSED,Culture Day,jp_culture_day,module:jp_culture_day,2019-11-03,,CONFIRMED
2019-12-31,CLOSED,Market Holiday (year end),jp_jpx_year_end_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2020-01-01,CLOSED,New Year's Day,jp_new_years_day,module:jp_new_years_day,,,CONFIRMED
2020-01-02,CLOSED,Market Holiday (New Year),jp_jpx_new_year_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2020-01-03,CLOSED,Market Holiday (New Year),jp_jpx_new_year_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2020-01-13,CLOSED,Coming of Age Day,jp_coming_of_age_day,module:jp_coming_of_age_day,,,CONFIRMED
2020-02-11,CLOSED,National Foundation Day,jp_national_foundation_day,module:jp_national_foundation_day,,,CONFIRMED
2020-02-24,CLOSED,Emperor's Birthday,jp_emperors_birthday,module:jp_emperors_birthday,2020-02-23,,CONFIRMED
2020-03-20,CLOSED,Vernal Equinox Day,jp_vernal_equinox_day,module:jp_vernal_equinox_day,,,CONFIRMED
2020-04-29,CLOSED,Showa Day,jp_showa_day,module:jp_showa_day,,,CONFIRMED
2020-05-04,CLOSED,Greenery Day,jp_greenery_day,module:jp_greenery_day,,,CONFIRMED
2020-05-05,CLOSED,Children's Day,jp_childrens_day,module:jp_childrens_day,,,CONFIRMED
2020-05-06,CLOSED,Constitution Memorial Day,jp_constitution_memorial_day,module:jp_constitution_memorial_day,2020-05-03,,CONFIRMED
2020-07-23,CLOSED,Marine Day (Tokyo Olympics),jp_marine_day_olympic,module:jp_marine_day,,,CONFIRMED
2020-07-24,CLOSED,Sports Day (Tokyo Olympics),jp_sports_day_olympic,module:jp_sports_day,,,CONFIRMED
2020-08-10,CLOSED,Mountain Day (Tokyo Olympics),jp_mountain_day_olympic,module:jp_mountain_day,,,CONFIRMED
2020-09-21,CLOSED,Respect for the Aged Day,jp_respect_for_the_aged_day,module:jp_respect_for_the_aged_day,,,CONFIRMED
2020-09-22,CLOSED,Autumnal Equinox Day,jp_autumnal_equinox_day,module:jp_autumnal_equinox_day,,,CONFIRMED
2020-10-01,CLOSED,Market Closure (arrowhead system failure),jp_tse_system_failure,module:jp_jpx_special_closures,,,CONFIRMED
2020-11-03,CLOSED,Culture Day,jp_culture_day,module:jp_culture_day,,,CONFIRMED
2020-11-23,CLOSED,Labor Thanksgiving Day,jp_labour_thanksgiving_day,module:jp_labour_thanksgiving_day,,,CONFIRMED
2020-12-31,CLOSED,Market Holiday (year end),jp_jpx_year_end_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2021-01-01,CLOSED,New Year's Day,jp_new_years_day,module:jp_new_years_day,,,CONFIRMED
2021-01-11,CLOSED,Coming of Age Day,jp_coming_of_age_day,module:jp_coming_of_age_day,,,CONFIRMED
2021-02-11,CLOSED,National Foundation Day,jp_national_foundation_day,module:jp_national_foundation_day,,,CONFIRMED
2021-02-23,CLOSED,Emperor's Birthday,jp_emperors_birthday,module:jp_emperors_birthday,,,CONFIRMED
2021-04-29,CLOSED,Showa Day,jp_showa_day,module:jp_showa_day,,,CONFIRMED
2021-05-03,CLOSED,Constitution Memorial Day,jp_constitution_memorial_day,module:jp_constitution_memorial_day,,,CONFIRMED
2021-05-04,CLOSED,Greenery Day,jp_greenery_day,module:jp_greenery_day,,,CONFIRMED
2021-05-05,CLOSED,Children's Day,jp_childrens_day,module:jp_childrens_day,,,CONFIRMED
2021-07-22,CLOSED,Marine Day (Tokyo Olympics),jp_marine_day_olympic,module:jp_marine_day,,,CONFIRMED
2021-07-23,CLOSED,Sports Day (Tokyo Olympics),jp_sports_day_olympic,module:jp_sports_day,,,CONFIRMED
2021-08-09,CLOSED,Mountain Day (Tokyo Olympics),jp_mountain_day_olympic,module:jp_mountain_day,2021-08-08,,CONFIRMED
2021-09-20,CLOSED,Respect for the Aged Day,jp_respect_for_the_aged_day,module:jp_respect_for_the_aged_day,,,CONFIRMED
2021-09-23,CLOSED,Autumnal Equinox Day,jp_autumnal_equinox_day,module:jp_autumnal_equinox_day,,,CONFIRMED
2021-11-03,CLOSED,Culture Day,jp_culture_day,module:jp_culture_day,,,CONFIRMED
2021-11-23,CLOSED,Labor Thanksgiving Day,jp_labour_thanksgiving_day,module:jp_labour_thanksgiving_day,,,CONFIRMED
2021-12-31,CLOSED,Market Holiday (year end),jp_jpx_year_end_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2022-01-03,CLOSED,Market Holiday (New Year),jp_jpx_new_year_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2022-01-10,CLOSED,Coming of Age Day,jp_coming_of_age_day,module:jp_coming_of_age_day,,,CONFIRMED
2022-02-11,CLOSED,National Foundation Day,jp_national_foundation_day,module:jp_national_foundation_day,,,CONFIRMED
2022-02-23,CLOSED,Emperor's Birthday,jp_emperors_birthday,module:jp_emperors_birthday,,,CONFIRMED
2022-03-21,CLOSED,Vernal Equinox Day,jp_vernal_equinox_day,module:jp_vernal_equinox_day,,,CONFIRMED
2022-04-29,CLOSED,Showa Day,jp_showa_day,module:jp_showa_day,,,CONFIRMED
2022-05-03,CLOSED,Constitution Memorial Day,jp_constitution_memorial_day,module:jp_constitution_memorial_day,,,CONFIRMED
2022-05-04,CLOSED,Greenery Day,jp_greenery_day,module:jp_greenery_day,,,CONFIRMED
2022-05-05,CLOSED,Children's Day,jp_childrens_day,module:jp_childrens_day,,,CONFIRMED
2022-07-18,CLOSED,Marine Day,jp_marine_day,module:jp_marine_day,,,CONFIRMED
2022-08-11,CLOSED,Mountain Day,jp_mountain_day,module:jp_mountain_day,,,CONFIRMED
2022-09-19,CLOSED,Respect for the Aged Day,jp_respect_for_the_aged_day,module:jp_respect_for_the_aged_day,,,CONFIRMED
2022-09-23,CLOSED,Autumnal Equinox Day,jp_autumnal_equinox_day,module:jp_autumnal_equinox_day,,,CONFIRMED
